,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,,
1,0–9*,"1,518,527",179,11.8,0,0.002,0,0,28.0‡,639,42.1,3037.054,5420886.888
2,10–19*,"1,617,937",465,28.7,0,0.007,0,0,28.0‡,"1,662",102.7,11325.559,5782819.987
,,,,,,,,,,,,0.004579237,3.572082088
3,20–29,"2,100,175","2,729",129.9,2,0.031,0.07,0.11,28,"9,756",464.5,65105.425,7507990.949
4,30–39,"2,056,056","2,838",138,6,0.084,0.21,0.27,31.6,"8,977",436.6,172708.704,6503599.264
,,,,,,,,,,,,0.057218699,3.371225087
5,40–49,"1,876,585","3,179",169.4,17,0.161,0.54,0.67,24,"13,219",704.4,302130.185,7803264.27
6,50–59,"2,060,937","3,841",186.4,62,0.595,1.61,2.03,29.3,"13,106",635.9,1226257.515,7032189.618
,,,,,,,,,,,,0.388159787,3.767713269
7,60–69,"1,795,047","2,824",157.3,154,1.93,5.45,6.52,29.6,"9,536",531.2,3464440.71,6061461.824
8,70–79,"1,159,898","2,018",174,331,4.28,16.4,20.89,20.5,"9,847",849,4964363.44,5659819.428
9,80+,"679,266","4,869",716.8,"1,332",7.8,27.36,37,21.1,"23,097","3,400.30",5298274.8,3222223.619
,,,,,,,,,,,,3.777182709,4.111897981
10,Total,"14,864,428","22,942§",154.3,"1,904",2.8,8.29,9.93,25.5,"89,839",604.4,,
