0 to 4 years,"723,016"
5 to 9 years,"762,654"
10 to 14 years,"792,947"
15 to 19 years,"852,405"
20 to 24 years,"1,039,661"
25 to 29 years,"1,077,433"
30 to 34 years,"1,041,952"
35 to 39 years,"992,844"
40 to 44 years,"921,378"
45 to 49 years,"932,058"
50 to 54 years,"968,546"
55 to 59 years,"1,073,519"
60 to 64 years,"961,243"
65 to 69 years,"803,962"
70 to 74 years,"673,546"
75 to 79 years,"461,015"
80 to 84 years,"319,548"
85 to 89 years,"204,227"
90 to 94 years,"98,638"
95 to 99 years,"29,527"
100 years and over,"3,895"
